policy,n_vehicles,on_time_rate,avg_wait_min
Carting,2,0.029061837348484415,1231.2985949408946
Carting,3,0.24043896590446998,60.71829869121355
Carting,4,0.3513984897689339,14.359370017650894
Carting,5,0.40335464099979895,3.158296198079767
Carting,6,0.4160701966206742,0.8595357961913397
Carting,8,0.41864896186356904,0.06091917471648385
Carting,10,0.4212710636537344,0.0013803893940017278
Carting,14,0.4191323193734603,0.0
Carting,18,0.419507724708598,0.0
Carting,24,0.42179059209847924,0.0
FTL,2,0.0058401367056600114,10120.212339574873
FTL,3,0.012391573083568396,4580.165044438903
FTL,4,0.07372641238488292,918.65083427841
FTL,5,0.2539553762206014,127.81267956564648
FTL,6,0.3723480538768284,42.93812746732241
FTL,8,0.47955237386941346,5.101268444650364
FTL,10,0.49953272000505305,0.5081349963182624
FTL,14,0.5058413946607275,0.021525317035015312
FTL,18,0.5048462382879763,0.0
FTL,24,0.5011698415459491,0.0
Historical,2,0.007256762216300302,6522.36443318771
Historical,3,0.06275290546920664,803.0288408819746
Historical,4,0.25816091577592615,89.9093658753931
Historical,5,0.37343503904702047,23.852655632175626
Historical,6,0.4159138631942902,7.4007879988179495
Historical,8,0.4590727784117753,0.5801886210101612
Historical,10,0.4544100998844224,0.043412315797961225
Historical,14,0.46203964130741104,0.0
Historical,18,0.4561883125306959,0.0
Historical,24,0.45759127025968366,0.0
