policy,sla_buffer,on_time_rate
Carting,1.5,0.0252493328985195
Carting,1.75,0.2394957470836189
Carting,2.0,0.41326062389280943
Carting,2.25,0.5485964555697793
Carting,2.5,0.6933684232514755
Carting,2.75,0.8219699444838569
Carting,3.0,0.867446896376206
Carting,3.5,0.9556126053863826
Carting,4.0,0.9792184825427304
Carting,4.5,0.9889632769448156
Carting,5.0,1.0
FTL,1.5,0.0
FTL,1.75,0.15880965445523504
FTL,2.0,0.5077614570221156
FTL,2.25,0.7492263278163094
FTL,2.5,0.8339423146561058
FTL,2.75,0.880225770260445
FTL,3.0,0.9368953395987664
FTL,3.5,0.948770986267412
FTL,4.0,0.9872530618559423
FTL,4.5,1.0
FTL,5.0,1.0
Historical,1.5,0.013944431361899429
Historical,1.75,0.20354658194392986
Historical,2.0,0.4607552912731775
Historical,2.25,0.6327259654432826
Historical,2.5,0.7604714499623417
Historical,2.75,0.8500692574688749
Historical,3.0,0.8979816452713993
Historical,3.5,0.9518672076554754
Historical,4.0,0.9822186253033681
Historical,4.5,0.9948704246059471
Historical,5.0,1.0
